topic_id,headline_topic,news_outlet,url
3,Redirect fuel subsidies from T20 to B40 and M40,Malay Mail,https://www.malaymail.com/news/malaysia/2026/05/09/redirect-fuel-subsidies-from-t20-to-b40-and-m40-umno-youth-chief-tells-govt/219350
3,Redirect fuel subsidies from T20 to B40 and M40,Free Malaysia Today,https://www.freemalaysiatoday.com/category/nation/2026/05/10/govt-agrees-to-remove-fuel-subsidies-for-the-rich-but-study-ongoing
3,Redirect fuel subsidies from T20 to B40 and M40,NST,https://www.nst.com.my/news/nation/2026/05/1436363/updated-govt-finalise-proposed-review-t20-fuel-subsidies-soon
3,Redirect fuel subsidies from T20 to B40 and M40,The Edge Malaysia,https://theedgemalaysia.com/node/802977
3,Redirect fuel subsidies from T20 to B40 and M40,Bernama,https://bernama.com/en/news.php/business/general/news.php?id=2555216
3,Redirect fuel subsidies from T20 to B40 and M40,The Sun Malaysia,https://thesun.my/news/malaysia-news/people-issues/petrol-subsidy-review-for-high-income-groups-still-under-study/
3,Redirect fuel subsidies from T20 to B40 and M40,The Star,https://www.thestar.com.my/news/nation/2026/05/10/proposal-to-review-t20-fuel-subsidies-to-be-finalised-soon-says-pm
3,Redirect fuel subsidies from T20 to B40 and M40,Malaysiakini,https://www.malaysiakini.com/news/774777
4,Ferrari crash on Johor Bahru-Mersing road claims lives of two Singaporeans,Malay Mail,https://www.malaymail.com/news/malaysia/2026/05/09/ferrari-crash-on-johor-bahru-mersing-road-claims-lives-of-two-singaporeans/219369
4,Ferrari crash on Johor Bahru-Mersing road claims lives of two Singaporeans,Free Malaysia Today,https://www.freemalaysiatoday.com/category/nation/2026/05/09/singaporean-couple-killed-after-ferrari-crashes-and-catches-fire
4,Ferrari crash on Johor Bahru-Mersing road claims lives of two Singaporeans,NST,https://www.nst.com.my/news/nation/2026/05/1435844/singaporean-couple-killed-after-ferrari-crashes-catches-fire-kota
4,Ferrari crash on Johor Bahru-Mersing road claims lives of two Singaporeans,Bernama,https://bernama.com/bm/news.php?id=2555016
